"date","value"
2020-03-08,4
2020-03-09,0
2020-03-10,2
2020-03-11,1
2020-03-12,16
2020-03-13,8
2020-03-14,10
2020-03-15,10
2020-03-16,11
2020-03-17,19
2020-03-18,13
2020-03-19,18
2020-03-20,15
2020-03-21,36
2020-03-22,24
2020-03-23,14
2020-03-24,17
2020-03-25,24
2020-03-26,22
2020-03-27,29
2020-03-28,38
2020-03-29,23
2020-03-30,5
2020-03-31,40
2020-04-01,23
2020-04-02,37
2020-04-03,28
2020-04-04,18
2020-04-05,28
2020-04-06,18
2020-04-07,16
2020-04-08,16
2020-04-09,30
2020-04-10,13
2020-04-11,26
2020-04-12,14
2020-04-13,7
2020-04-14,19
2020-04-15,40
2020-04-16,48
2020-04-17,42
2020-04-18,32
2020-04-19,19
2020-04-20,45
2020-04-21,51
2020-04-22,49
2020-04-23,66
2020-04-24,90
2020-04-25,76
2020-04-26,56
2020-04-27,58
2020-04-28,39
2020-04-29,50
2020-04-30,50
2020-05-01,53
2020-05-02,47
2020-05-03,23
2020-05-04,21
2020-05-05,57
2020-05-06,69
2020-05-07,53
2020-05-08,54
2020-05-09,46
2020-05-10,44
2020-05-11,34
2020-05-12,23
2020-05-13,65
2020-05-14,31
2020-05-15,38
2020-05-16,37
2020-05-17,36
2020-05-18,24
2020-05-19,24
2020-05-20,33
2020-05-21,39
2020-05-22,41
2020-05-23,36
2020-05-24,19
2020-05-25,6
2020-05-26,10
